datetime,open,high,low,close,volume
2022-11-18 07:00:00,1218.55,1221.23,1214.00,1214.65,19558.88
2022-11-18 08:00:00,1214.65,1215.23,1205.05,1213.06,17180.80
2022-11-18 09:00:00,1213.07,1217.35,1211.50,1215.61,9919.23
2022-11-18 10:00:00,1215.61,1226.01,1214.54,1219.06,18153.35
2022-11-18 11:00:00,1219.06,1222.00,1214.60,1217.23,9725.70
2022-11-18 12:00:00,1217.23,1221.00,1216.69,1218.00,9295.88
2022-11-18 13:00:00,1218.00,1227.81,1216.61,1219.34,16274.88
2022-11-18 14:00:00,1219.34,1222.99,1210.89,1214.47,22716.15
2022-11-18 15:00:00,1214.47,1214.95,1206.00,1211.13,16891.74
2022-11-18 16:00:00,1211.14,1214.47,1203.50,1207.45,16297.57
2022-11-18 17:00:00,1207.44,1208.35,1200.36,1204.17,17238.01
2022-11-18 18:00:00,1204.17,1207.28,1202.38,1205.63,11702.12
2022-11-18 19:00:00,1205.63,1211.71,1203.65,1209.71,11833.15
2022-11-18 20:00:00,1209.71,1214.08,1208.33,1210.06,9555.51
2022-11-18 21:00:00,1210.05,1212.89,1208.93,1209.05,6466.48
2022-11-18 22:00:00,1209.04,1211.57,1206.70,1210.03,6008.84
2022-11-18 23:00:00,1210.04,1214.97,1206.03,1212.58,9507.22
2022-11-19 00:00:00,1212.58,1213.48,1209.63,1210.17,6149.53
2022-11-19 01:00:00,1210.17,1211.79,1208.02,1210.23,4702.70
2022-11-19 02:00:00,1210.22,1210.23,1201.00,1206.83,9907.10
2022-11-19 03:00:00,1206.84,1209.75,1206.38,1208.54,5784.12
2022-11-19 04:00:00,1208.55,1209.45,1205.72,1207.97,8100.88
2022-11-19 05:00:00,1207.97,1209.14,1197.67,1204.96,17818.29
2022-11-19 06:00:00,1204.95,1207.95,1202.25,1207.62,10734.68
2022-11-19 07:00:00,1207.62,1209.72,1206.80,1206.81,10604.87
2022-11-19 08:00:00,1206.81,1212.41,1204.16,1210.14,7741.90
2022-11-19 09:00:00,1210.13,1211.01,1207.99,1209.06,6478.93
2022-11-19 10:00:00,1209.06,1210.29,1207.11,1208.73,7102.33
2022-11-19 11:00:00,1208.73,1211.45,1207.64,1211.44,6018.26
2022-11-19 12:00:00,1211.45,1212.09,1208.00,1208.24,4882.89
2022-11-19 13:00:00,1208.25,1209.83,1205.83,1207.96,6127.68
2022-11-19 14:00:00,1207.96,1209.39,1206.51,1207.90,7110.08
2022-11-19 15:00:00,1207.91,1210.99,1206.92,1209.58,7899.50
2022-11-19 16:00:00,1209.58,1211.70,1208.10,1210.03,6011.30
2022-11-19 17:00:00,1210.04,1210.70,1206.95,1208.02,5953.54
2022-11-19 18:00:00,1208.02,1210.26,1207.26,1207.81,4368.59
2022-11-19 19:00:00,1207.81,1210.28,1207.80,1208.60,5848.06
2022-11-19 20:00:00,1208.59,1211.48,1208.59,1209.26,4065.12
2022-11-19 21:00:00,1209.26,1212.27,1209.26,1211.68,5116.33
2022-11-19 22:00:00,1211.68,1235.00,1211.67,1224.19,38455.63
2022-11-19 23:00:00,1224.20,1227.47,1217.12,1217.67,12807.30
2022-11-20 00:00:00,1217.67,1223.22,1216.98,1222.44,10381.32
2022-11-20 01:00:00,1222.44,1227.07,1217.80,1218.62,10905.29
2022-11-20 02:00:00,1218.62,1221.66,1217.37,1218.85,8416.69
2022-11-20 03:00:00,1218.85,1219.59,1215.33,1218.99,6735.93
2022-11-20 04:00:00,1218.99,1220.92,1218.65,1219.42,5872.64
2022-11-20 05:00:00,1219.42,1219.84,1217.55,1218.93,4783.73
2022-11-20 06:00:00,1218.93,1220.34,1217.75,1220.16,4386.22
2022-11-20 07:00:00,1220.16,1223.26,1217.70,1220.39,8974.51
2022-11-20 08:00:00,1220.38,1220.65,1203.94,1208.15,25373.54
2022-11-20 09:00:00,1208.14,1211.09,1206.59,1207.98,11191.91
2022-11-20 10:00:00,1207.99,1208.66,1190.58,1196.55,30532.09
2022-11-20 11:00:00,1196.55,1196.87,1160.00,1167.76,79173.72
2022-11-20 12:00:00,1167.76,1173.32,1153.00,1166.73,74105.90
2022-11-20 13:00:00,1166.74,1179.40,1164.91,1176.56,25137.99
2022-11-20 14:00:00,1176.57,1180.47,1171.42,1172.58,15845.32
2022-11-20 15:00:00,1172.59,1179.33,1171.80,1177.13,13634.16
2022-11-20 16:00:00,1177.12,1179.89,1169.53,1175.09,13158.36
2022-11-20 17:00:00,1175.09,1177.69,1171.95,1172.81,11108.15
2022-11-20 18:00:00,1172.81,1178.34,1171.54,1178.15,10284.07
2022-11-20 19:00:00,1178.14,1190.00,1175.41,1185.46,19278.61
2022-11-20 20:00:00,1185.47,1186.72,1172.20,1177.46,22698.44
2022-11-20 21:00:00,1177.46,1177.47,1134.05,1143.15,53676.52
2022-11-20 22:00:00,1143.16,1154.31,1135.00,1142.87,35988.97
2022-11-20 23:00:00,1142.87,1146.61,1132.65,1142.21,29464.66
2022-11-21 00:00:00,1142.21,1144.12,1125.86,1140.44,44980.27
2022-11-21 01:00:00,1140.43,1143.06,1128.61,1131.49,18152.48
2022-11-21 02:00:00,1131.50,1132.93,1111.18,1122.77,60323.98
2022-11-21 03:00:00,1122.77,1127.00,1111.11,1125.12,27178.86
2022-11-21 04:00:00,1125.12,1140.00,1124.16,1128.71,43119.42
2022-11-21 05:00:00,1128.71,1136.97,1128.05,1136.00,16993.21
2022-11-21 06:00:00,1135.99,1138.32,1127.40,1128.14,20433.16
2022-11-21 07:00:00,1128.15,1132.39,1117.01,1123.48,23777.19
2022-11-21 08:00:00,1123.49,1127.70,1117.01,1120.58,19919.25
2022-11-21 09:00:00,1120.59,1126.97,1105.65,1120.76,54918.94
2022-11-21 10:00:00,1120.77,1128.84,1115.24,1127.16,36597.82
2022-11-21 11:00:00,1127.16,1131.81,1121.66,1125.00,33969.16
2022-11-21 12:00:00,1125.00,1128.36,1115.10,1127.30,26514.34
2022-11-21 13:00:00,1127.30,1146.99,1125.67,1135.15,52629.17
2022-11-21 14:00:00,1135.16,1143.00,1133.21,1134.44,30688.13
2022-11-21 15:00:00,1134.45,1137.25,1129.19,1130.33,35621.25
2022-11-21 16:00:00,1130.34,1133.10,1099.00,1116.58,83574.70
2022-11-21 17:00:00,1116.58,1121.63,1102.81,1105.71,31708.35
