datetime,open,high,low,close,volume
2022-11-18 07:00:00,16794.13,16801.43,16724.32,16745.10,7341.89
2022-11-18 08:00:00,16745.84,16749.89,16680.00,16737.44,10688.81
2022-11-18 09:00:00,16737.44,16766.24,16719.45,16739.50,8433.73
2022-11-18 10:00:00,16740.00,16854.33,16722.31,16767.85,11990.93
2022-11-18 11:00:00,16767.25,16787.26,16712.04,16749.88,6866.28
2022-11-18 12:00:00,16750.25,16792.17,16744.90,16777.98,7533.99
2022-11-18 13:00:00,16778.29,16818.00,16729.23,16752.93,9545.88
2022-11-18 14:00:00,16752.93,16785.14,16651.80,16700.52,12450.71
2022-11-18 15:00:00,16699.35,16716.00,16608.80,16696.86,11539.24
2022-11-18 16:00:00,16695.06,16732.85,16625.18,16654.80,9412.30
2022-11-18 17:00:00,16654.79,16667.43,16550.19,16597.08,10945.27
2022-11-18 18:00:00,16596.06,16613.03,16546.04,16587.43,7250.12
2022-11-18 19:00:00,16588.11,16674.31,16567.28,16656.37,7900.07
2022-11-18 20:00:00,16656.36,16683.00,16610.00,16639.06,8492.85
2022-11-18 21:00:00,16639.06,16676.58,16630.05,16651.93,4562.14
2022-11-18 22:00:00,16651.93,16671.80,16626.83,16665.73,3324.18
2022-11-18 23:00:00,16665.73,16727.99,16628.94,16700.45,6287.73
2022-11-19 00:00:00,16699.43,16708.77,16662.26,16664.26,3705.21
2022-11-19 01:00:00,16664.77,16682.71,16650.72,16664.75,3366.47
2022-11-19 02:00:00,16665.69,16665.70,16573.94,16624.24,6400.82
2022-11-19 03:00:00,16624.24,16652.96,16611.89,16628.70,3636.34
2022-11-19 04:00:00,16628.70,16649.00,16615.11,16635.14,3377.48
2022-11-19 05:00:00,16635.14,16642.89,16553.53,16597.92,7702.60
2022-11-19 06:00:00,16598.73,16622.62,16567.95,16609.44,4397.41
2022-11-19 07:00:00,16609.44,16618.99,16597.05,16599.31,4077.33
2022-11-19 08:00:00,16598.98,16663.27,16580.00,16643.27,5926.79
2022-11-19 09:00:00,16643.08,16650.30,16626.12,16635.10,3479.42
2022-11-19 10:00:00,16635.10,16646.92,16622.06,16636.33,3232.07
2022-11-19 11:00:00,16636.33,16683.01,16636.33,16676.26,3731.05
2022-11-19 12:00:00,16676.26,16686.86,16640.00,16654.20,4225.23
2022-11-19 13:00:00,16654.61,16665.11,16634.01,16649.31,3191.40
2022-11-19 14:00:00,16649.31,16668.97,16641.59,16651.82,4394.16
2022-11-19 15:00:00,16651.82,16677.93,16646.27,16655.65,5342.09
2022-11-19 16:00:00,16655.65,16664.00,16644.32,16655.00,3801.95
2022-11-19 17:00:00,16655.00,16658.99,16608.35,16614.65,5054.51
2022-11-19 18:00:00,16614.02,16646.84,16611.13,16625.22,3073.39
2022-11-19 19:00:00,16625.22,16638.61,16621.45,16627.33,2641.61
2022-11-19 20:00:00,16627.33,16648.73,16625.98,16633.75,2530.19
2022-11-19 21:00:00,16634.15,16687.25,16633.00,16679.49,3216.94
2022-11-19 22:00:00,16679.49,16822.41,16678.12,16738.20,9441.12
2022-11-19 23:00:00,16738.20,16775.50,16691.30,16700.68,5017.60
2022-11-20 00:00:00,16700.68,16738.77,16686.51,16719.98,4362.93
2022-11-20 01:00:00,16719.98,16753.33,16669.92,16684.71,4653.09
2022-11-20 02:00:00,16684.30,16710.12,16667.06,16684.35,3818.07
2022-11-20 03:00:00,16684.36,16698.82,16666.47,16679.99,3308.39
2022-11-20 04:00:00,16679.99,16698.00,16671.89,16684.24,2868.30
2022-11-20 05:00:00,16684.24,16697.63,16671.00,16687.76,3013.11
2022-11-20 06:00:00,16687.77,16698.00,16675.32,16687.34,2643.36
2022-11-20 07:00:00,16686.97,16738.76,16681.13,16722.90,4365.41
2022-11-20 08:00:00,16722.20,16736.41,16561.00,16615.67,10219.04
2022-11-20 09:00:00,16615.67,16642.00,16596.19,16630.48,4338.07
2022-11-20 10:00:00,16630.12,16683.00,16597.29,16626.44,7490.20
2022-11-20 11:00:00,16626.44,16636.57,16462.46,16525.38,13408.36
2022-11-20 12:00:00,16526.04,16585.22,16461.00,16523.52,10744.00
2022-11-20 13:00:00,16524.24,16600.00,16517.34,16584.48,8070.83
2022-11-20 14:00:00,16584.21,16593.40,16542.97,16549.84,4794.93
2022-11-20 15:00:00,16550.25,16628.49,16533.78,16580.53,6227.08
2022-11-20 16:00:00,16580.53,16590.49,16552.37,16583.93,4353.79
2022-11-20 17:00:00,16583.93,16590.21,16530.22,16548.21,4251.84
2022-11-20 18:00:00,16547.82,16588.47,16533.21,16586.93,4098.98
2022-11-20 19:00:00,16587.40,16613.35,16552.00,16587.80,4038.44
2022-11-20 20:00:00,16587.80,16595.85,16448.05,16537.99,9076.70
2022-11-20 21:00:00,16538.84,16538.85,16212.59,16284.23,13549.80
2022-11-20 22:00:00,16284.23,16358.00,16180.00,16296.94,11496.03
2022-11-20 23:00:00,16296.94,16324.58,16222.47,16280.23,9651.38
2022-11-21 00:00:00,16279.50,16295.00,16123.01,16268.73,14167.44
2022-11-21 01:00:00,16268.12,16283.06,16191.00,16214.15,7872.40
2022-11-21 02:00:00,16214.15,16219.99,15905.88,16010.70,23043.32
2022-11-21 03:00:00,16010.31,16110.55,15897.15,16073.75,17133.07
2022-11-21 04:00:00,16073.15,16319.00,16064.22,16149.97,18837.79
2022-11-21 05:00:00,16149.34,16234.66,16138.97,16228.09,8403.75
2022-11-21 06:00:00,16228.09,16256.16,16082.00,16091.53,11091.76
2022-11-21 07:00:00,16091.53,16150.00,15955.99,16039.73,12829.28
2022-11-21 08:00:00,16040.73,16068.13,15992.14,16035.42,9731.72
2022-11-21 09:00:00,16035.87,16169.52,15964.00,16112.48,16084.12
2022-11-21 10:00:00,16111.77,16153.90,16058.63,16131.26,9631.50
2022-11-21 11:00:00,16131.25,16154.99,16055.82,16084.42,8791.27
2022-11-21 12:00:00,16084.42,16140.95,16025.42,16113.86,8491.57
2022-11-21 13:00:00,16113.86,16284.00,16098.83,16175.95,14566.24
2022-11-21 14:00:00,16176.56,16250.00,16146.21,16163.83,10824.24
2022-11-21 15:00:00,16163.83,16175.23,16109.74,16130.45,8677.70
2022-11-21 16:00:00,16130.45,16139.19,15906.52,16032.24,19529.33
2022-11-21 17:00:00,16032.24,16075.59,15977.77,16015.22,10845.24
2022-11-21 18:00:00,16015.22,16040.53,15930.00,15971.36,12433.72
2022-11-21 19:00:00,15971.36,16006.38,15589.68,15722.98,23509.49
2022-11-21 20:00:00,15721.51,15894.74,15709.76,15785.27,15789.22
2022-11-21 21:00:00,15785.27,15852.24,15476.00,15649.52,17912.03
2022-11-21 22:00:00,15648.23,15869.41,15614.96,15740.27,15458.34
2022-11-21 23:00:00,15739.38,15857.07,15726.38,15781.29,8442.45
2022-11-22 00:00:00,15781.29,15967.76,15746.16,15866.48,12895.32
2022-11-22 01:00:00,15866.48,15899.92,15800.00,15812.06,7380.93
2022-11-22 02:00:00,15812.06,15920.33,15770.01,15900.14,9765.29
2022-11-22 03:00:00,15900.14,15927.37,15833.60,15847.82,7245.22
2022-11-22 04:00:00,15848.53,15868.00,15800.03,15822.79,5679.01
2022-11-22 05:00:00,15822.79,15882.87,15773.78,15803.90,7397.46
2022-11-22 06:00:00,15804.23,15821.71,15661.00,15687.47,11889.32
2022-11-22 07:00:00,15687.47,15781.34,15616.63,15760.42,9883.54
2022-11-22 08:00:00,15760.42,15769.99,15660.00,15729.98,10185.45
2022-11-22 09:00:00,15729.98,15775.69,15669.24,15687.97,7744.25
2022-11-22 10:00:00,15687.97,15824.16,15661.21,15797.30,8309.59
2022-11-22 11:00:00,15796.44,15816.09,15701.00,15747.88,8048.26
2022-11-22 12:00:00,15747.88,15863.20,15683.33,15836.41,12635.60
2022-11-22 13:00:00,15835.30,16218.00,15827.55,16171.01,27127.37
2022-11-22 14:00:00,16171.01,16218.00,16039.88,16117.28,14432.80
2022-11-22 15:00:00,16117.28,16315.00,16113.88,16241.30,15824.17
2022-11-22 16:00:00,16241.30,16290.27,16153.71,16171.69,10774.90
2022-11-22 17:00:00,16171.69,16209.88,16060.01,16081.97,9054.80
2022-11-22 18:00:00,16080.84,16174.23,16049.87,16140.29,9163.17
2022-11-22 19:00:00,16139.44,16246.34,16100.82,16168.38,9022.87
2022-11-22 20:00:00,16167.49,16193.07,16128.00,16135.92,5643.54
2022-11-22 21:00:00,16134.85,16180.00,16085.54,16147.13,6442.73
2022-11-22 22:00:00,16145.77,16254.99,16100.68,16184.90,6424.97
2022-11-22 23:00:00,16186.00,16235.61,16156.50,16226.94,6577.51
2022-11-23 00:00:00,16227.96,16261.58,16168.26,16183.16,7944.06
2022-11-23 01:00:00,16183.16,16234.60,16160.20,16220.74,6708.25
2022-11-23 02:00:00,16220.74,16570.02,16213.04,16512.44,23413.56
2022-11-23 03:00:00,16512.44,16593.80,16462.20,16586.55,12227.51
2022-11-23 04:00:00,16584.66,16589.99,16484.95,16508.13,8840.04
2022-11-23 05:00:00,16508.13,16536.99,16444.00,16464.07,8429.29
2022-11-23 06:00:00,16463.54,16522.20,16445.94,16499.80,9322.69
2022-11-23 07:00:00,16499.81,16662.10,16461.93,16583.84,13769.52
2022-11-23 08:00:00,16583.84,16637.00,16500.00,16541.86,11344.96
2022-11-23 09:00:00,16541.86,16600.00,16519.71,16566.38,10104.88
2022-11-23 10:00:00,16565.77,16677.25,16531.00,16611.45,12523.60
2022-11-23 11:00:00,16610.97,16642.60,16566.66,16585.77,9879.56
2022-11-23 12:00:00,16585.21,16604.10,16485.14,16513.59,10783.61
2022-11-23 13:00:00,16514.03,16546.00,16382.90,16394.33,12626.27
2022-11-23 14:00:00,16395.48,16488.25,16342.98,16464.98,14821.68
2022-11-23 15:00:00,16464.98,16511.03,16401.97,16427.11,10308.56
2022-11-23 16:00:00,16427.09,16465.63,16320.02,16334.35,9300.33
2022-11-23 17:00:00,16335.33,16400.86,16328.11,16391.62,8216.33
2022-11-23 18:00:00,16390.51,16582.22,16380.00,16527.81,10423.81
2022-11-23 19:00:00,16527.81,16706.00,16395.16,16473.32,22319.91
2022-11-23 20:00:00,16473.32,16625.00,16426.42,16617.47,9704.29
2022-11-23 21:00:00,16617.47,16620.76,16478.57,16488.41,7312.39
2022-11-23 22:00:00,16488.41,16541.50,16459.43,16512.51,4884.73
2022-11-23 23:00:00,16511.59,16676.72,16497.21,16603.11,9717.88
2022-11-24 00:00:00,16603.11,16627.06,16533.65,16564.07,8239.06
2022-11-24 01:00:00,16562.99,16799.99,16537.44,16747.83,13006.15
2022-11-24 02:00:00,16747.83,16812.63,16678.67,16695.18,11395.93
2022-11-24 03:00:00,16695.18,16772.46,16685.00,16712.07,8406.00
2022-11-24 04:00:00,16711.41,16740.01,16656.80,16697.69,8038.87
2022-11-24 05:00:00,16697.27,16704.70,16645.08,16655.80,7982.02
2022-11-24 06:00:00,16655.55,16726.00,16635.66,16710.50,10381.88
2022-11-24 07:00:00,16710.50,16719.03,16614.75,16623.90,11368.52
2022-11-24 08:00:00,16622.38,16642.18,16520.26,16590.98,13285.87
2022-11-24 09:00:00,16590.97,16619.62,16553.55,16601.53,8854.81
2022-11-24 10:00:00,16601.53,16615.00,16493.81,16558.61,10808.97
2022-11-24 11:00:00,16557.81,16582.00,16530.89,16572.11,6911.91
2022-11-24 12:00:00,16572.11,16588.94,16493.01,16538.45,9526.48
2022-11-24 13:00:00,16538.45,16606.52,16531.51,16586.23,8062.27
2022-11-24 14:00:00,16586.23,16592.00,16458.05,16532.59,9685.63
2022-11-24 15:00:00,16532.59,16580.01,16497.57,16558.11,6937.15
2022-11-24 16:00:00,16559.01,16676.00,16517.99,16622.53,12911.51
2022-11-24 17:00:00,16622.52,16669.00,16581.53,16586.73,7597.97
2022-11-24 18:00:00,16587.67,16604.48,16542.22,16583.31,6161.63
2022-11-24 19:00:00,16583.31,16602.29,16554.00,16577.41,4381.80
2022-11-24 20:00:00,16577.05,16595.48,16553.00,16567.36,4960.73
2022-11-24 21:00:00,16567.36,16577.86,16535.01,16551.95,5135.77
2022-11-24 22:00:00,16552.74,16639.00,16542.20,16612.48,4402.72
2022-11-24 23:00:00,16612.48,16625.00,16560.27,16598.95,8122.28
2022-11-25 00:00:00,16599.55,16622.64,16510.46,16528.79,10622.55
2022-11-25 01:00:00,16529.37,16556.58,16511.47,16526.84,5010.84
2022-11-25 02:00:00,16526.84,16532.32,16470.60,16525.78,8876.30
2022-11-25 03:00:00,16525.78,16527.72,16470.00,16485.45,5922.00
2022-11-25 04:00:00,16485.45,16502.19,16354.24,16391.26,10133.83
2022-11-25 05:00:00,16391.93,16421.27,16360.63,16362.80,8014.74
2022-11-25 06:00:00,16363.43,16444.99,16342.81,16424.40,8209.17
2022-11-25 07:00:00,16424.94,16474.88,16415.07,16461.66,6751.84
2022-11-25 08:00:00,16462.22,16495.59,16420.30,16449.37,6653.60
2022-11-25 09:00:00,16449.37,16480.41,16430.12,16441.79,5756.14
2022-11-25 10:00:00,16442.28,16521.62,16407.72,16477.50,8371.32
2022-11-25 11:00:00,16477.93,16591.43,16470.03,16531.64,11662.04
2022-11-25 12:00:00,16531.64,16584.48,16500.25,16507.19,9545.69
2022-11-25 13:00:00,16507.18,16519.82,16472.13,16491.33,7493.67
2022-11-25 14:00:00,16491.82,16549.66,16435.11,16538.89,10489.99
2022-11-25 15:00:00,16538.89,16570.00,16477.00,16513.00,10610.01
2022-11-25 16:00:00,16513.00,16516.98,16458.46,16485.66,7095.21
2022-11-25 17:00:00,16485.14,16536.35,16474.29,16510.38,7262.26
2022-11-25 18:00:00,16509.52,16528.60,16477.13,16495.43,4967.01
2022-11-25 19:00:00,16495.43,16553.88,16494.01,16523.21,5276.79
2022-11-25 20:00:00,16523.67,16666.00,16516.97,16526.13,8058.96
2022-11-25 21:00:00,16526.13,16539.77,16492.57,16501.60,4796.70
2022-11-25 22:00:00,16502.19,16539.10,16482.87,16529.17,4333.86
2022-11-25 23:00:00,16529.02,16577.60,16494.06,16522.14,6174.96
2022-11-26 00:00:00,16521.35,16591.03,16509.60,16579.50,8474.39
2022-11-26 01:00:00,16579.27,16701.99,16573.52,16633.87,13822.50
2022-11-26 02:00:00,16634.33,16670.00,16617.33,16627.90,7856.63
2022-11-26 03:00:00,16628.17,16644.06,16602.78,16625.79,6699.55
2022-11-26 04:00:00,16625.79,16644.72,16602.12,16630.32,9009.76
2022-11-26 05:00:00,16630.32,16651.84,16619.20,16625.48,6968.01
2022-11-26 06:00:00,16625.00,16626.35,16532.50,16559.50,10166.52
2022-11-26 07:00:00,16559.00,16600.00,16530.00,16583.75,7375.88
2022-11-26 08:00:00,16584.13,16596.36,16567.00,16573.03,4756.15
2022-11-26 09:00:00,16573.01,16600.00,16571.57,16590.86,6184.40
2022-11-26 10:00:00,16590.86,16638.23,16582.03,16596.56,8456.37
2022-11-26 11:00:00,16595.82,16606.54,16556.66,16580.31,6746.65
2022-11-26 12:00:00,16580.58,16598.50,16558.32,16580.59,5600.71
2022-11-26 13:00:00,16580.59,16613.21,16577.05,16596.89,7821.52
2022-11-26 14:00:00,16596.22,16680.57,16536.56,16567.05,13700.36
2022-11-26 15:00:00,16566.95,16582.53,16483.25,16512.86,11100.82
2022-11-26 16:00:00,16512.35,16532.91,16496.26,16508.22,5734.23
2022-11-26 17:00:00,16507.75,16530.00,16490.76,16516.05,4920.20
2022-11-26 18:00:00,16516.63,16526.39,16458.38,16477.77,4837.58
2022-11-26 19:00:00,16477.73,16497.43,16420.45,16488.43,6863.97
2022-11-26 20:00:00,16488.44,16514.98,16484.91,16500.90,3335.81
2022-11-26 21:00:00,16500.95,16549.66,16495.61,16516.25,6386.34
2022-11-26 22:00:00,16516.25,16520.00,16385.00,16425.29,7287.11
2022-11-26 23:00:00,16425.29,16483.69,16416.20,16458.57,7699.37
2022-11-27 00:00:00,16457.61,16503.91,16446.59,16462.67,8047.14
